Domian;Phylum;Class;Order;Family;Genus;Species;MP288;MP289;MP290;MP291;MP292;MP293;MP294;MP295;MP296;MP297;MP298;MP299;MP300;MP301;MP302;MP303;MP304;MP305;MP306;MP307;total
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Nitrosomonas;;0;54;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;254
Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseococcus;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251;0;0;0;0;251
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;A21b;A21b;;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;199;242
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Hydrogenophilaceae;Thiobacillus;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236;0;0;0;0;0;236
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;IS-44;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;0;0;39;233
Bacteria;Proteobacteria;Gammaproteobacteria;WD260;WD260;WD260;uncultured_bacterium;0;0;46;0;0;0;0;0;0;0;0;0;88;0;0;0;0;0;97;0;231
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylobacter;;0;0;0;0;0;188;0;0;0;0;0;0;0;40;0;0;0;0;0;0;228
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;;0;0;0;0;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;227
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Tepidimonas;;0;0;0;0;0;0;0;64;0;0;0;161;0;0;0;0;0;0;0;0;225
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Rhodoplanes;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223;223
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured;uncultured;uncultured_Rhodospirillaceae;0;0;0;0;0;0;0;0;0;0;186;0;0;0;0;0;37;0;0;0;223
